"","X","id","session","startTime","endTime","extinct","player"
"70",70,70,"de6d42726d2a50ab82f11f6a9e268786","2021-05-16 11:06:33",NA,0,"player14"
"72",72,72,"d81411455ab2bee2c352e261cfb06287","2021-05-20 10:53:12",NA,0,"player47"
"73",73,73,"39d2f08cd1bc4ac6bfe65a1dbcbccc2c","2021-05-20 12:34:56","2021-05-20 12:35:05",1,"player40"
"74",74,74,"80b7fc4bd94ea4255c65d031a0fe9fe6","2021-05-20 14:55:34",NA,0,"player40"
"75",75,75,"004eca7632778a992f707c7c336d3ce8","2021-05-20 15:00:03",NA,0,"player40"
"79",79,79,"64e0b5ed4a34f8681426992faebd86df","2021-06-01 10:01:36","2021-06-01 10:15:19",0,"player21"
"81",81,81,"ed7298a2979a39883c498edf675617d7","2021-06-02 09:51:34",NA,0,"player67"
"87",87,87,"1f0113de9c16a40c0bae55f1e5b75c6a","2021-06-29 16:54:19","2021-06-29 16:55:15",1,"player42"
"94",94,94,"c85fc36c40804806d71e74e9cac33ad1","2021-07-07 16:58:22","2021-07-07 16:59:44",0,"player80"
"97",97,97,"d9becc86d9319597962ba84af89bef55","2021-07-09 17:56:12","2021-07-09 17:56:20",1,"player27"
"98",98,98,"d9becc86d9319597962ba84af89bef55","2021-07-09 17:56:37","2021-07-09 17:58:04",0,"player77"
"99",99,99,"6fb4e0f161f0e6780d056027893da081","2021-07-09 18:24:30","2021-07-09 18:25:14",0,"player82"
"102",102,102,"5832c5ba0ead52e217b86a189ce25f9d","2021-07-09 18:43:32","2021-07-09 18:45:51",0,"player10"
"103",103,103,"bcc94aa572d57564216897b3a6405931","2021-07-09 19:08:19","2021-07-09 19:09:53",0,"player10"
"104",104,104,"fe3897128a6a43390830eb2ce1d64438","2021-07-09 19:36:56",NA,0,"player58"
"105",105,105,"56dec56afdba9390a1cd3fd95f6d2fb0","2021-07-09 19:38:42","2021-07-09 19:41:26",0,"player58"
"107",107,107,"fb611bf5954776881fa5cdb8ca55e0b9","2021-07-12 12:09:52","2021-07-12 12:10:49",0,"player20"
"108",108,108,"a23cdde9ec688f8dfda36f1491f1819e","2021-07-12 14:53:39","2021-07-12 14:54:05",1,"player10"
"109",109,109,"cc1e9955055896b3dfc87b894c745893","2021-07-12 14:54:22","2021-07-12 14:55:20",0,"player10"
"110",110,110,"cc1e9955055896b3dfc87b894c745893","2021-07-12 14:55:33","2021-07-12 14:56:16",0,"player10"
"111",111,111,"cc1e9955055896b3dfc87b894c745893","2021-07-12 14:56:31","2021-07-12 14:57:33",0,"player10"
"112",112,112,"b22bd9e8fa01eac988e90c5052529e15","2021-07-12 15:33:31",NA,0,"player35"
"113",113,113,"ef954b6b6c171eced73a9ce0f7b7e255","2021-07-12 15:58:50","2021-07-12 15:59:39",0,"player35"
"114",114,114,"ef954b6b6c171eced73a9ce0f7b7e255","2021-07-12 15:59:55","2021-07-12 16:00:28",0,"player35"
"117",117,117,"c9e30581b87ac0c5c5496ce3099dac85","2021-07-12 16:07:56","2021-07-12 16:08:30",0,"player41"
"118",118,118,"4c63916c9df33d08b029c134fc346d26","2021-07-12 16:13:12","2021-07-12 16:14:07",0,"player35"
"120",120,120,"6ae33d0c18c5ab780a093c2371dbca80","2021-07-13 16:14:58","2021-07-13 16:15:29",1,"player35"
"125",125,125,"8da90872da410cb669b0fa95340dcc93","2021-07-13 17:09:53",NA,0,"player70"
"133",133,133,"ef8d7529ea30381feb4e78bfd8825672","2021-07-14 11:05:12","2021-07-14 11:12:29",0,"player29"
"134",134,134,"ef8d7529ea30381feb4e78bfd8825672","2021-07-14 11:13:46","2021-07-14 11:19:54",0,"player30"
"135",135,135,"4bb897d2d74f3610e49d873fc2f1a6b0","2021-07-14 11:28:31","2021-07-14 11:36:07",0,"player31"
"137",137,137,"47b27877dbbc68d04700c8ef2c494775","2021-07-14 13:10:13","2021-07-14 13:14:41",0,"player56"
"138",138,138,"47b27877dbbc68d04700c8ef2c494775","2021-07-14 13:15:15","2021-07-14 13:17:46",0,"player56"
"139",139,139,"c968cf6f718232320af2139ef7bcbe41","2021-07-14 15:56:08",NA,0,"player34"
"142",142,142,"a75b70f487cdf5a96c9adc4ff96423d0","2021-07-16 09:34:03","2021-07-16 09:45:27",0,"player51"
"143",143,143,"a75b70f487cdf5a96c9adc4ff96423d0","2021-07-16 09:47:59","2021-07-16 09:52:10",0,"player52"
"144",144,144,"ba439ed9ce22942fe18ad2724574bb16","2021-07-16 10:17:18","2021-07-16 10:22:36",0,"player49"
"148",148,148,"c91f2a45dca21d7ded064bc6ce3184bb","2021-07-16 11:36:33","2021-07-16 11:40:19",0,"player62"
"149",149,149,"c91f2a45dca21d7ded064bc6ce3184bb","2021-07-16 11:41:05","2021-07-16 11:44:35",0,"player62"
"150",150,150,"c91f2a45dca21d7ded064bc6ce3184bb","2021-07-16 11:45:36","2021-07-16 11:46:17",0,"player62"
"152",152,152,"3e7841cbda60493530b5dda22ac98143","2021-07-16 11:47:06","2021-07-16 11:47:21",1,"player60"
"153",153,153,"3e7841cbda60493530b5dda22ac98143","2021-07-16 11:47:36","2021-07-16 11:48:11",0,"player60"
"154",154,154,"3e7841cbda60493530b5dda22ac98143","2021-07-16 11:48:42","2021-07-16 11:58:58",0,"player60"
"156",156,156,"3e7841cbda60493530b5dda22ac98143","2021-07-16 11:59:26","2021-07-16 12:00:51",0,"player60"
"157",157,157,"3e7841cbda60493530b5dda22ac98143","2021-07-16 12:01:04","2021-07-16 12:21:24",0,"player60"
"158",158,158,"1ba02f56ebd7ef72e9d25ac6b4d6698a","2021-07-16 14:49:33",NA,0,"player51"
"160",160,160,"fa561d9209aa7f983f1e2e36922716e8","2021-07-16 16:30:19",NA,0,"player51"
